@relation data
@attribute V1 {'1','2','3','4','5','6'}
@attribute V2 {'1','2','3','4'}
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 {'1','2','3','4','5','6','7','8','9','10'}
@attribute V6 {'1','2','3','4','5'}
@attribute V7 {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute V8 {'1','2','3','4','5','6','7','8'}
@attribute V9 {'1','2'}
@attribute V10 {'1','2'}
@attribute V11 {'1','2'}
@attribute V12 {'1','2'}
@attribute V13 {'1','2'}
@attribute V14 {'1','2'}
@attribute V15 {'1','2'}
@attribute V16 {'1','2','3','4','5','6','7','8'}
@attribute V17 {'1','2','3','4'}
@attribute V18 {'1','2','3'}
@attribute V19 {'1','2'}
@attribute V20 {'1','2','3'}
@attribute V21 {'1','2','3','4','5','6','7','8','9','10','11','12','13','14'}
@attribute V22 {'1','2'}
@attribute V23 {'1','2'}
@attribute V24 {'1','2'}
@attribute V25 {'1','2'}
@attribute V26 {'1','2'}
@attribute V27 {'1','2','3','4','5','6','7'}
@attribute V28 {'1','2','3','4','5','6','7','8'}
@attribute Class {'1','2','3','4','5','6','7','8'}
@data
'5','1',-0.0239742604927145,-0.0790570901343151,'5','1','5','5','2','2','1','2','2','2','1','5','1','1','1','1','9','1','1','2','1','1','1','5','3'
'3','1',-0.309105789216902,-0.220462750644062,'10','1','1','3','2','1','1','2','1','2','1','7','1','1','1','1','9','1','1','1','2','1','6','7','7'
'4','1',0.777526321058312,-0.0355476561313161,'3','3','1','3','2','2','1','1','2','1','1','5','1','1','1','1','9','2','1','1','1','1','4','8','3'
'6','3',-0.322464132242752,-0.253094826146311,'1','1','1','5','2','1','2','2','2','1','2','2','1','1','1','1','1','1','2','2','2','1','2','7','2'
'3','1',-0.322464132242752,-0.253094826146311,'10','4','1','3','2','1','2','2','1','1','1','4','1','1','1','1','1','1','1','1','1','1','2','7','1'
'4','2',0.251944617868817,-0.176953316641063,'5','1','4','3','2','1','1','2','1','2','1','7','1','1','1','1','9','1','1','2','1','1','6','1','6'
'1','4',-0.322464132242752,-0.253094826146311,'1','1','3','3','1','1','2','1','2','1','2','8','1','1','1','1','1','1','1','1','2','1','7','2','2'
'1','4',-0.322464132242752,-0.253094826146311,'1','1','3','5','2','1','2','2','2','2','1','7','1','1','1','1','9','1','2','1','1','1','1','7','2'
'2','3',0.956712370611961,0.0514712118746819,'6','1','5','2','1','1','2','1','2','1','1','2','1','1','1','1','1','1','1','1','1','1','2','2','1'
'2','3',0.956712370611961,0.0514712118746819,'6','1','5','3','1','1','2','2','2','1','1','2','1','1','1','1','9','1','1','1','1','1','2','2','1'
'6','2',3.21979993219828,-0.0899344486350648,'1','1','1','3','2','1','2','1','2','1','1','2','1','2','2','2','14','1','1','1','1','1','7','2','2'
'3','1',-0.283771000719599,-0.166075958140313,'8','1','5','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','6','7','1'
'1','4',-0.313712114398229,-0.253094826146311,'1','1','5','3','1','1','2','2','1','2','1','2','1','1','1','1','1','1','2','1','1','1','2','2','2'
'5','1',-0.322003499724619,-0.253094826146311,'3','1','1','2','2','1','1','1','2','1','1','7','1','1','1','1','1','1','1','1','1','1','7','7','3'
